2019-04-19 04:22:00,"San Diego, Budapest, Bay Area",453,1301,"Hardware is hard. While the world takes turns to mocking @samsung for the issues with their #GalaxyFold, I'd pause… https://t.co/pJVZCtRN2Q","[[[-117.282538, 32.53962], [-116.9274403, 32.53962], [-116.9274403, 33.0804044], [-117.282538, 33.0804044]]]","San Diego, CA",United States,US,city

2019-04-19 04:17:19,"Chicago, IL",1712,451,Oh Samsung https://t.co/ejr7UeUxZJ,"[[[-87.940033, 41.644102], [-87.523993, 41.644102], [-87.523993, 42.0230669], [-87.940033, 42.0230669]]]","Chicago, IL",United States,US,city

2019-04-19 04:15:58,"Morogoro, Tanzania",130,116,@SuperSaf Your a Samsung guys. You’d using anyway even if it would be broken😎,"[[[35.3247203, -9.9691514], [38.5661981, -9.9691514], [38.5661981, -5.7863682], [35.3247203, -5.7863682]]]","Morogoro, Tanzania",Tanzania,TZ,admin

2019-04-19 04:13:08,VA,402,337,I’d rather have an IPhone 5 than have a samsung droid bullshit 10xs or whatever tf they are called any day,"[[[-83.67529, 36.540739], [-75.16644, 36.540739], [-75.16644, 39.466012], [-83.67529, 39.466012]]]","Virginia, USA",United States,US,admin

2019-04-19 04:04:01,"Arlington, TX",2157,1803,Have y’all noticed that Apple waits for Samsung to come out with stuff and fuck it up and then Apple just copies th… https://t.co/EMWgsIgRsU,"[[[-97.233811, 32.586565], [-97.037464, 32.586565], [-97.037464, 32.817135], [-97.233811, 32.817135]]]","Arlington, TX",United States,US,city

2019-04-19 04:03:43,"Chicago, IL",570,623,"No phone ever
.
.
.
.
Samsung.... https://t.co/jIlnjvwwke","[[[-87.940033, 41.644102], [-87.523993, 41.644102], [-87.523993, 42.0230669], [-87.940033, 42.0230669]]]","Chicago, IL",United States,US,city

2019-04-19 03:57:47,The York of New ,1134,1914,That foldable Samsung phone .. 👀,"[[[-74.026675, 40.683935], [-73.910408, 40.683935], [-73.910408, 40.877483], [-74.026675, 40.877483]]]","Manhattan, NY",United States,US,city

2019-04-19 03:26:27,Where your not.. Lol,218,1058,@Lizzy_Liz_Liz We have Samsung watches. We love them.,"[[[-118.111506, 33.8803098], [-118.041985, 33.8803098], [-118.041985, 33.934191], [-118.111506, 33.934191]]]","Norwalk, CA",United States,US,city

2019-04-19 03:11:58,,481,423,I've been doing all my filming on my Samsung Note-8 with some shots on my Gopro Hero 5 but now that I have this new… https://t.co/6iRJCyUN0f,"[[[-80.1309396, 26.420813], [-80.05542, 26.420813], [-80.05542, 26.491482], [-80.1309396, 26.491482]]]","Delray Beach, FL",United States,US,city

2019-04-19 03:00:28,,209,555,"@waltmossberg @gruber wait, samsung is selling a half-baked product?  that’s unpossible!!!","[[[-85.751406, 42.883679], [-85.530877, 42.883679], [-85.530877, 43.029144], [-85.751406, 43.029144]]]","Grand Rapids, MI",United States,US,city

2019-04-19 02:37:18,"District of Columbia, USA/703",1065,1519,Samsung is about to shit on Apple ... the Galaxy S10 e mean af...🔥,"[[[-77.119401, 38.801826], [-76.909396, 38.801826], [-76.909396, 38.9953797], [-77.119401, 38.9953797]]]","Washington, DC",United States,US,city

